_id,base_clock,boost_clock,brand,core,cpu,iGPU,keyword,socket,tdp,thread
,3.6,5.1,amd,8,AMD Ryzen™ 7 PRO 8700GE,AMD Radeon™ 780M,8700GE,AM5,35,16
,3.9,5.0,amd,6,AMD Ryzen™ 5 PRO 8600GE,AMD Radeon™ 760M,8600GE,AM5,35,12
,3.5,5.0,amd,6,AMD Ryzen™ 5 PRO 8500G,AMD Radeon™ 740M,8500G,AM5,65,12
,3.4,4.9,amd,4,AMD Ryzen™ 3 PRO 8300G,AMD Radeon™ 740M,8300G,AM5,65,8
,3.5,4.9,amd,4,AMD Ryzen™ 3 PRO 8300GE,AMD Radeon™ 740M,8300GE,AM5,35,8
,4.2,5.1,amd,8,AMD Ryzen™ 7 PRO 8700G,AMD Radeon™ 780M,8700G,AM5,65,16
,3.4,5.0,amd,6,AMD Ryzen™ 5 PRO 8500GE,AMD Radeon™ 740M,8500GE,AM5,35,12
,4.3,5.0,amd,6,AMD Ryzen™ 5 PRO 8600G,AMD Radeon™ 760M,8600G,AM5,65,12
,4.1,5.0,amd,8,AMD Ryzen™ 7 8700F,Discrete Graphics Card Required,8700F,AM5,65,16
,4.2,4.7,amd,6,AMD Ryzen™ 5 8400F,Discrete Graphics Card Required,8400F,AM5,65,12
,3.8,5.3,amd,8,AMDRyzen77700,AMD Radeon™ Graphics,AMDRyzen77700,AM5,65,16
,4.7,5.3,amd,6,AMDRyzen57600X,AMD Radeon™ Graphics,AMDRyzen57600X,AM5,105,12
,4.5,5.4,amd,8,AMDRyzen77700X,AMD Radeon™ Graphics,AMDRyzen77700X,AM5,105,16
,4.2,5.0,amd,8,AMDRyzen77800X3D,AMD Radeon™ Graphics,AMDRyzen77800X3D,AM5,120,16
,3.4,4.9,amd,16,AMDRyzen95950X,Discrete Graphics Card Required,AMDRyzen95950X,AM4,105,32
,4.5,5.7,amd,16,AMDRyzen97950X,AMD Radeon™ Graphics,AMDRyzen97950X,AM5,170,32
,4.7,5.6,amd,12,AMDRyzen97900X,AMD Radeon™ Graphics,AMDRyzen97900X,AM5,170,24
,4.2,5.7,amd,16,AMDRyzen97950X3D,AMD Radeon™ Graphics,AMDRyzen97950X3D,AM5,120,32
,3.8,4.7,amd,8,AMDRyzen75800X,Discrete Graphics Card Required,AMDRyzen75800X,AM4,105,16
,3.4,4.5,amd,8,AMDRyzen75800X3D,Discrete Graphics Card Required,AMDRyzen75800X3D,AM4,105,16
,4.4,5.6,amd,12,AMDRyzen97900X3D,AMD Radeon™ Graphics,AMDRyzen97900X3D,AM5,120,24
,4.3,5.0,amd,6,AMDRyzen58600G,AMD Radeon™ 760M,AMDRyzen58600G,AM5,65,12
,3.7,4.6,amd,6,AMDRyzen55600X,Discrete Graphics Card Required,AMDRyzen55600X,AM4,65,12
,3.4,4.9,amd,4,AMDRyzen38300G,AMD Radeon™ 740M,AMDRyzen38300G,AM5,65,8
,4.2,5.1,amd,8,AMDRyzen78700G,AMD Radeon™ 780M,AMDRyzen78700G,AM5,65,16
,3.5,5.0,amd,6,AMDRyzen58500G,AMD Radeon™ 740M,AMDRyzen58500G,AM5,65,12
,3.7,4.8,amd,12,AMDRyzen95900X,Discrete Graphics Card Required,AMDRyzen95900X,AM4,105,24
_id,base_clock,boost_clock,brand,core,cpu,iGPU,keyword,socket,tdp,thread
,3.3,4.4,intel,5,8500,Intel® UHD Graphics for 12th Gen Intel® Processors,8500,FCBGA1781,29,6
,3.6,,intel,2,G3470,Intel® HD Graphics for 4th Generation Intel® Processors,G3470,FCLGA1150,53,2
,3.0,,intel,2,G3460T,Intel® HD Graphics for 4th Generation Intel® Processors,G3460T,FCLGA1150,35,2
,3.3,,intel,2,G3260,Intel® HD Graphics for 4th Generation Intel® Processors,G3260,FCLGA1150,53,2
,1.6,,intel,4,N3700,Intel® HD Graphics for Intel® Celeron® Processor N3000 Series,N3700,FCBGA1170,6,4
,1.9,,intel,2,3805U,Intel® HD Graphics for 5th Generation Intel® Processors,3805U,FCBGA1168,15,2
,3.2,,intel,2,G3250,Intel® HD Graphics for 4th Generation Intel® Processors,G3250,FCLGA1150,53,2
,1.9,,intel,2,3825U,Intel® HD Graphics for 5th Generation Intel® Processors,3825U,FCBGA1168,15,4
,3.5,,intel,2,G4500,Intel® HD Graphics 530,G4500,FCLGA1151,51,2
,3.0,,intel,2,G4500T,Intel® HD Graphics 530,G4500T,FCLGA1151,35,2
,3.6,,intel,2,G4520,Intel® HD Graphics 530,G4520,FCLGA1151,51,2
,3.2,,intel,2,940,None,940,"LGA775,PLGA775",130,
,2.9,,intel,2,G3260T,Intel® HD Graphics for 4th Generation Intel® Processors,G3260T,FCLGA1150,35,2
,3.7,4.8,intel,14,i7-12800H,Intel® Iris® Xe Graphics eligible,12800H,FCBGA1744,115,20
,3.5,4.7,intel,14,i7-12700H,Intel® Iris® Xe Graphics eligible,12700H,FCBGA1744,115,20
,3.6,4.9,intel,12,i7-12700F,None,12700F,FCLGA1700,180,20
,3.5,,intel,2,G3460,Intel® HD Graphics for 4th Generation Intel® Processors,G3460,FCLGA1150,53,2
,2.8,,intel,2,G3250T,Intel® HD Graphics for 4th Generation Intel® Processors,G3250T,FCLGA1150,35,2
,3.6,4.9,intel,12,i7-12700,Intel® UHD Graphics 770,12700,FCLGA1700,180,20
,3.6,4.8,intel,12,i7-12700E,Intel® UHD Graphics 770,12700E,FCLGA1700,,20
,3.4,4.6,intel,12,i7-12700TE,Intel® UHD Graphics 770,12700TE,FCLGA1700,,20
,3.5,4.7,intel,10,i7-12650H,Intel® UHD Graphics for 12th Gen Intel® Processors,12650H,FCBGA1744,115,16
,3.4,4.7,intel,12,i7-12700T,Intel® UHD Graphics 770,12700T,FCLGA1700,99,20
,3.5,,intel,14,i7-12800HE,Intel® Iris® Xe Graphics eligible,12800HE,FCBGA1744,115,20
,,4.6,intel,6,i5-12600T,Intel® UHD Graphics 770,12600T,FCLGA1700,74,12
,3.3,4.5,intel,12,i5-12600H,Intel® Iris® Xe Graphics eligible,12600H,FCBGA1744,95,16
,3.3,,intel,12,i5-12600HE,Intel® Iris® Xe Graphics eligible,12600HE,FCBGA1744,115,16
,,4.8,intel,6,i5-12600,Intel® UHD Graphics 770,12600,FCLGA1700,117,12
,2.9,,intel,2,G3450T,Intel® HD Graphics for 4th Generation Intel® Processors,G3450T,FCLGA1150,35,2
,,4.5,intel,6,i5-12500E,Intel® UHD Graphics 770,12500E,FCLGA1700,,12
,,4.3,intel,6,i5-12500TE,Intel® UHD Graphics 770,12500TE,FCLGA1700,,12
,,4.4,intel,6,i5-12400F,None,12400F,FCLGA1700,117,12
,3.3,4.4,intel,8,i5-12450H,Intel® UHD Graphics for 12th Gen Intel® Processors,12450H,FCBGA1744,95,12
,,4.4,intel,6,i5-12500T,Intel® UHD Graphics 770,12500T,FCLGA1700,74,12
,,4.4,intel,6,i5-12400,Intel® UHD Graphics 730,12400,FCLGA1700,117,12
,3.3,4.5,intel,12,i5-12500H,Intel® Iris® Xe Graphics eligible,12500H,FCBGA1744,95,16
,,4.6,intel,6,i5-12500,Intel® UHD Graphics 770,12500,FCLGA1700,117,12
,,4.2,intel,4,i3-12300T,Intel® UHD Graphics 730,12300T,FCLGA1700,69,8
,,4.4,intel,4,i3-12300,Intel® UHD Graphics 730,12300,FCLGA1700,89,8
,,4.0,intel,4,i3-12100TE,Intel® UHD Graphics 730,12100TE,FCLGA1700,,8
,3.3,,intel,8,i3-12300HE,Intel® UHD Graphics,12300HE,FCBGA1744,115,12
,,4.1,intel,4,i3-12100T,Intel® UHD Graphics 730,12100T,FCLGA1700,69,8
,,4.2,intel,4,i3-12100E,Intel® UHD Graphics 730,12100E,FCLGA1700,,8
,,4.3,intel,4,i3-12100,Intel® UHD Graphics 730,12100,FCLGA1700,89,8
,3.5,4.7,intel,10,i7-1260U,Intel® Iris® Xe Graphics eligible,1260U,FCBGA1781,29,12
,3.6,4.8,intel,14,i7-1280P,Intel® Iris® Xe Graphics eligible,1280P,FCBGA1744,64,20
,3.5,4.8,intel,12,i7-1270P,Intel® Iris® Xe Graphics eligible,1270P,FCBGA1744,64,16
,3.4,4.7,intel,12,i7-1260P,Intel® Iris® Xe Graphics eligible,1260P,FCBGA1744,64,16
,,4.2,intel,6,i5-12400T,Intel® UHD Graphics 730,12400T,FCLGA1700,74,12
,3.5,4.7,intel,10,i7-1255U,Intel® Iris® Xe Graphics eligible,1255U,FCBGA1744,55,12
,3.3,4.4,intel,12,i5-1250P,Intel® Iris® Xe Graphics eligible,1250P,FCBGA1744,64,16
,,4.3,intel,4,i3-12100F,None,12100F,FCLGA1700,89,8
,3.6,4.8,intel,10,i7-1265U,Intel® Iris® Xe Graphics eligible,1265U,FCBGA1744,55,12
,3.5,4.7,intel,10,i7-1250U,Intel® Iris® Xe Graphics eligible,1250U,FCBGA1781,29,12
,3.3,4.4,intel,10,i5-1245U,Intel® Iris® Xe Graphics eligible,1245U,FCBGA1744,55,12
,3.3,4.4,intel,12,i5-1240P,Intel® Iris® Xe Graphics eligible,1240P,FCBGA1744,64,16
,3.3,4.4,intel,10,i5-1230U,Intel® Iris® Xe Graphics eligible,1230U,FCBGA1781,29,12
,3.3,4.4,intel,10,i5-1235U,Intel® Iris® Xe Graphics eligible,1235U,FCBGA1744,55,12
,3.5,,intel,10,i7-1265UE,Intel® Iris® Xe Graphics eligible,1265UE,FCBGA1744,55,12
,3.3,4.4,intel,10,i5-1235U,Intel® Iris® Xe Graphics eligible,1235U,FCBGA1744,55,12
,3.3,4.4,intel,6,i3-1215U,Intel® UHD Graphics for 12th Gen Intel® Processors,1215U,FCBGA1744,55,8
,3.3,4.4,intel,10,i3-1220P,Intel® UHD Graphics for 12th Gen Intel® Processors,1220P,FCBGA1744,64,12
